名称 (Name),详情链接 (Link),图片链接 (Image),目 (Order),科 (Family),属 (Genus)
太平洋鹦哥 / Pacific Parrotlet / Forpus coelestis,https://www.huaniao8.com/niao/82453.html,https://hn8i.7img.cn/ZTM4MWU5ODFmZjc3NjhmZTk3YWVmNmU1NmNkMWQ3YjMvMjUwLzMyMC9lZjU1.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Forpus
诺福克啄羊鹦鹉 / Norfolk Kaka / Nestor productus,https://www.huaniao8.com/niao/82390.html,https://hn8i.7img.cn/M2Y2OGRmMDkyYzRhZjk4MTMyYTRlZmY2OWQwNTI2NzQvMjUwLzMyMC82NzA2.jpg,鹦形目 / Psittaciformes,鸮鹦鹉科 / New Zealand Parrots / Strigopidae,Nestor
黑头鹦哥 / Nanday Parakeet / Aratinga nenday,https://www.huaniao8.com/niao/82388.html,https://hn8i.7img.cn/NGFlMmQ0YjA1ZmZjZTQ0NDhiZmJhMzhjN2UyMWIwZGUvMjUwLzMyMC82OWI4.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Aratinga
毛里求斯冕鹦鹉 / Broad-billed Parrot / Lophopsittacus mauritianus,https://www.huaniao8.com/niao/82357.html,https://hn8i.7img.cn/dGh1bWIvMjUwLzMyMC82ZTM0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Lophopsittacus
红顶鹦哥 / Pileated Parrot / Pionopsitta pileata,https://www.huaniao8.com/niao/82362.html,https://hn8i.7img.cn/NjdmZjU0OTMzNzE4MWM4MDdiMDVlMTMxNWMxODg1MjQvMjUwLzMyMC8yMjc0.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pionopsitta
塞席尔鹦鹉 / Seychelles Black Parrot / Coracopsis barklyi,https://www.huaniao8.com/niao/82306.html,https://hn8i.7img.cn/MDc2Y2JiZWEwZjZkOWZhNzE3NDJjNjU0Y2M4OTQwZDgvMjUwLzMyMC82MTZh.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Coracopsis
椰果彩虹鹦鹉 / Coconut Lorikeet / Trichoglossus haematodus,https://www.huaniao8.com/niao/82301.html,https://hn8i.7img.cn/YjYwZjY2ZWVmZmFiMjdmZjFkYjM0YTc1YzUyNTE1OTkvMjUwLzMyMC84Nzlm.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Trichoglossus
仙人掌鹦哥 / Caatinga Parakeet / Eupsittula cactorum,https://www.huaniao8.com/niao/82254.html,https://hn8i.7img.cn/NGZiMjkxYjM2ZmU1NjBmM2QyN2Q0N2U0MjUxMjJlZWEvMjUwLzMyMC8xYTYx.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Eupsittula
圣文森特鹦哥 / St. Vincent Amazon / Amazona guildingii,https://www.huaniao8.com/niao/82170.html,https://hn8i.7img.cn/N2E5OTc4ZTRjNWQ4YjRjZWFjZGY5ZGFhNmNlZjVhYTgvMjUwLzMyMC8wMTFi.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
瓦氏短尾鹦鹉 / Wallace’s Hanging Parrot / Loriculus flosculus,https://www.huaniao8.com/niao/82065.html,https://hn8i.7img.cn/ZTMwNWE1N2ZiNWM4OGM2MzNmYmEyMWI3Y2UyOTJmNDIvMjUwLzMyMC9kY2Rl.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Loriculus
卡米金短尾鹦鹉 / Camiguin Hanging Parrot / Loriculus camiguinensis,https://www.huaniao8.com/niao/82029.html,https://hn8i.7img.cn/YTdlMDdkNDI2YzlmNTI5ZThjMTQ4ZTZhNTM5MGFjY2EvMjUwLzMyMC8xNDcw.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Loriculus
小金刚鹦鹉 / Red-and-green Macaw / Ara chloropterus,https://www.huaniao8.com/niao/81732.html,https://hn8i.7img.cn/ZTFlNDg1ZDFlYmI4MzhhYmUwY2E2NjRjMGI1OGIyYTMvMjUwLzMyMC9jODEy.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Ara
黑翅牡丹鹦鹉 / Black-winged Lovebird / Agapornis taranta,https://www.huaniao8.com/niao/81904.html,https://hn8i.7img.cn/NWU0MTllMjkxOTgxZWIxMDc1OGNlM2MxZTE5NmM4M2UvMjUwLzMyMC8wYzQ5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Agapornis
棉岛扇尾鹦鹉 / Mindanao Racket-tail / Prioniturus waterstradti,https://www.huaniao8.com/niao/81848.html,https://hn8i.7img.cn/dGh1bWIvMjUwLzMyMC82ZTM0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Prioniturus
马氏鹦鹉 / Yellow-billed Lorikeet / Neopsittacus musschenbroekii,https://www.huaniao8.com/niao/81846.html,https://hn8i.7img.cn/YWM0MGFjZmIzMmYzMGNjN2U4MmQ2YTkwYTRjM2JlYWQvMjUwLzMyMC9iYzNi.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Neopsittacus
褐头鹦鹉 / Brown-headed Parrot / Poicephalus cryptoxanthus,https://www.huaniao8.com/niao/81626.html,https://hn8i.7img.cn/Y2Q2MmIyMWUzM2MyNmY2MmQyMTM1YmZkZDU1NWQwMTIvMjUwLzMyMC8wOTlh.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Poicephalus
极乐鹦鹉 / Paradise Parrot / Psephotellus pulcherrimus,https://www.huaniao8.com/niao/81615.html,https://hn8i.7img.cn/M2UwYjRhNWU0YTdmYzI4NGZmZTVlMDc1ODY1NTVkZDYvMjUwLzMyMC85OGI2.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psephotellus
灰头鹦鹉 / Grey-headed Parakeet / Psittacula finschii,https://www.huaniao8.com/niao/81671.html,https://hn8i.7img.cn/MWU5NjgxMjk5M2U4ODMzNDE1NmM5Y2RjZDY1MWUzOTYvMjUwLzMyMC8zYjlj.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittacula
灰颊鹦哥 / Grey-cheeked Parakeet / Brotogeris pyrrhoptera,https://www.huaniao8.com/niao/81467.html,https://hn8i.7img.cn/YWVlNTc1ZjllODM3MTBkMDA4MzcxMDExMDgwNGU3NWYvMjUwLzMyMC81YTlh.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Brotogeris
圣塔伦鹦哥 / Santarem Parakeet / Pyrrhura amazonum,https://www.huaniao8.com/niao/81566.html,https://hn8i.7img.cn/YjVkNWFkN2MwYzdlZDYwNDE4YmUyMDkyMTQwZDdiMzUvMjUwLzMyMC8wMmM3.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrrhura
黄领牡丹鹦鹉 / Yellow-collared Lovebird / Agapornis personatus,https://www.huaniao8.com/niao/81457.html,https://hn8i.7img.cn/OGU0ZjA2ZTNkZjg1OTVhYmJiNTk4OTVjMzY2MjA1M2YvMjUwLzMyMC80NDU0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Agapornis
短嘴黑凤头鹦鹉 / Carnaby’s Black Cockatoo / Zanda latirostris,https://www.huaniao8.com/niao/81444.html,https://hn8i.7img.cn/MDU3Mjc2YjBlMmY3M2NjYjVlNjYxY2RmMjhhZjc3NGEvMjUwLzMyMC81Zjc5.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Zanda
红额金刚鹦鹉 / Red-fronted Macaw / Ara rubrogenys,https://www.huaniao8.com/niao/81357.html,https://hn8i.7img.cn/YmZkZWM4MTM2YjVlMDMwMzFhZjY2N2E2MTdkYTM2MTQvMjUwLzMyMC9iODZl.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Ara
翎冠鹦鹉 / Horned Parakeet / Eunymphicus cornutus,https://www.huaniao8.com/niao/81394.html,https://hn8i.7img.cn/ZWRiY2Q5OTA2N2E5MjIyM2M5YzllOWMxZWFiYWM5ZGIvMjUwLzMyMC9lZTU2.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Eunymphicus
绿宝石鹦鹉 / Turquoise Parrot / Neophema pulchella,https://www.huaniao8.com/niao/81343.html,https://hn8i.7img.cn/Nzk0MTBhZjFkN2IxMTAxZjg2YjI3NDE2ZjA5NDEzN2YvMjUwLzMyMC8yMGQ5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Neophema
绿扇尾鹦鹉 / Green Racket-tail / Prioniturus luconensis,https://www.huaniao8.com/niao/81329.html,https://hn8i.7img.cn/dGh1bWIvMjUwLzMyMC82ZTM0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Prioniturus
彩虹鹦鹉 / Rainbow Lorikeet / Trichoglossus moluccanus,https://www.huaniao8.com/niao/81106.html,https://hn8i.7img.cn/OGQyYzU5NGZlNjBhN2JkZjYxNWE0YzNjZjM4ZWRkZmIvMjUwLzMyMC8yYjg2.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Trichoglossus
细嘴鹦哥 / Slender-billed Parakeet / Enicognathus leptorhynchus,https://www.huaniao8.com/niao/81279.html,https://hn8i.7img.cn/YWI5YzE0M2Y3ZDFmZjU2NjE4ZTRjYjY2MzY0MThkYTIvMjUwLzMyMC9hNDNk.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Enicognathus
橙冠凤头鹦鹉 / Salmon-crested Cockatoo / Cacatua moluccensis,https://www.huaniao8.com/niao/81081.html,https://hn8i.7img.cn/YzhiMWNkYmUzODU4ODk5OGUwMDc3NGI1OGU1M2QzN2QvMjUwLzMyMC84NmM4.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Cacatua
桤木鹦哥 / Tucuman Amazon / Amazona tucumana,https://www.huaniao8.com/niao/81087.html,https://hn8i.7img.cn/Zjc1NjY5N2M3ZWQ2ODA4N2VlNTYxNmNkNzZiZDI0YWUvMjUwLzMyMC80OGY1.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
白冠鹦哥 / White-crowned Parrot / Pionus senilis,https://www.huaniao8.com/niao/81079.html,https://hn8i.7img.cn/MGVjN2EwNjJmNzgzZWU5YzJiNzQwNmRjNWRjYWMyZDQvMjUwLzMyMC8xMzI5.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pionus
苏禄扇尾鹦鹉 / Blue-winged Racket-tail / Prioniturus verticalis,https://www.huaniao8.com/niao/81041.html,https://hn8i.7img.cn/MzdlY2U5OGRiMGM5ZGUxMmNlZDYwMTZiNTdhNDNhMGIvMjUwLzMyMC80N2Fl.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Prioniturus
橘黄彩虹鹦鹉 / Marigold Lorikeet / Trichoglossus capistratus,https://www.huaniao8.com/niao/81020.html,https://hn8i.7img.cn/MmEyM2JjZmJkZjM0MTAyZGFkZGM4YTBlM2QyMThkZTkvMjUwLzMyMC81YzBm.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Trichoglossus
橙腹鹦鹉 / Orange-bellied Parrot / Neophema chrysogaster,https://www.huaniao8.com/niao/81017.html,https://hn8i.7img.cn/MWE0NjlkMmFkYTI2ZThmYWRhMmZkOWY2MDgyOGQxMWIvMjUwLzMyMC9mMWI1.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Neophema
德氏果鹦鹉 / Large Fig Parrot / Psittaculirostris desmarestii,https://www.huaniao8.com/niao/80898.html,https://hn8i.7img.cn/NDU5OGZiNjc0MTk1OTQxZWMwOWU3NDAwZTU5NDdlZGQvMjUwLzMyMC9kZWJm.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittaculirostris
苏拉短尾鹦鹉 / Great Hanging Parrot / Loriculus stigmatus,https://www.huaniao8.com/niao/80856.html,https://hn8i.7img.cn/YWY5M2UyYmM4YThmYWQ1ZjAxMzczNDA0NDM1ZTE5MTUvMjUwLzMyMC8zMDZj.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Loriculus
新喀鹦鹉 / New Caledonian Lorikeet / Charmosyna diadema,https://www.huaniao8.com/niao/80846.html,https://hn8i.7img.cn/NGFiZjkwNGZmOWIxYzA1MzA0NDkzNTcxNWJmNmMzNTEvMjUwLzMyMC80M2Ni.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Charmosyna
巴布亚鹦鹉 / Papuan Lorikeet / Charmosyna papou,https://www.huaniao8.com/niao/80813.html,https://hn8i.7img.cn/MzEwODFkYmY2NmYwZDc5YmMzYzg5NDVkNTY0NjYzMWUvMjUwLzMyMC9lZTQz.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Charmosyna
帝王鹦哥 / Imperial Amazon / Amazona imperialis,https://www.huaniao8.com/niao/80666.html,https://hn8i.7img.cn/OWZhMWNkZjc0NGQ0YjQ2NDVlN2IyZGJjMzEyMDU0MGUvMjUwLzMyMC8xNTg2.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
粉脸鹦哥 / Rose-faced Parrot / Pyrilia pulchra,https://www.huaniao8.com/niao/80593.html,https://hn8i.7img.cn/NjA0MGViMWFjMDVkNTY2MzZkMTA3OGQ0ZGY3MjNiM2IvMjUwLzMyMC84ZTZj.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrilia
蓝翅金刚鹦鹉 / Blue-winged Macaw / Primolius maracana,https://www.huaniao8.com/niao/80426.html,https://hn8i.7img.cn/MmNhNjY5ODBiODk0Y2U3Zjg0ZWQ1ODRlNWRkOWY3NWEvMjUwLzMyMC85MmM4.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Primolius
图伊鹦哥 / Tui Parakeet / Brotogeris sanctithomae,https://www.huaniao8.com/niao/80338.html,https://hn8i.7img.cn/ODkzZTc4OGJlNjNkMmZjYzY5Mzg5NjE4YzY4YWRlNTUvMjUwLzMyMC81NzEz.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Brotogeris
黄肩鹦哥 / Yellow-shouldered Amazon / Amazona barbadensis,https://www.huaniao8.com/niao/80390.html,https://hn8i.7img.cn/MmJmYmIzNThmZjlmOTBkZDc4NzY4ZjZiMDZjN2Y1MjMvMjUwLzMyMC82MDdj.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
红领彩虹鹦鹉 / Red-collared Lorikeet / Trichoglossus rubritorquis,https://www.huaniao8.com/niao/80284.html,https://hn8i.7img.cn/ZjgxMmVlMTE0YTg5NWVlMWU4YTFmY2QyNDA1OGFlOWMvMjUwLzMyMC9kYjli.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Trichoglossus
金刚鹦鹉 / Scarlet Macaw / Ara macao,https://www.huaniao8.com/niao/80278.html,https://hn8i.7img.cn/ZTI2ODNiNjViZDRlM2JjOWEwOTZiYzcwY2QxMjgyY2MvMjUwLzMyMC82ZWE1.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Ara
紫红鹦鹉 / Pohnpei Lorikeet / Trichoglossus rubiginosus,https://www.huaniao8.com/niao/80316.html,https://hn8i.7img.cn/YjE1ZWMwY2ZkYTdhODRiNzZhOGVlMWQyYmFjMWIyY2QvMjUwLzMyMC9kZmNh.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Trichoglossus
小蓝金刚鹦鹉 / Spix’s Macaw / Cyanopsitta spixii,https://www.huaniao8.com/niao/80219.html,https://hn8i.7img.cn/Mjk3Yjg0ZDNkOTE2YTllNDI0OWY1N2NmN2FlNzJjMzYvMjUwLzMyMC9kMjYz.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Cyanopsitta
伊岛鹦哥 / Hispaniolan Parakeet / Psittacara chloropterus,https://www.huaniao8.com/niao/80208.html,https://hn8i.7img.cn/N2U2MjY0NGYwYWJjOTdhNGNhMWMwMGM0OWI3YTAwYTUvMjUwLzMyMC9mNjA4.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Psittacara
西长嘴凤头鹦鹉 / Western Corella / Cacatua pastinator,https://www.huaniao8.com/niao/80193.html,https://hn8i.7img.cn/YmEwYjVmYmYyOGZmMTEyMDYzZWU2MTkxMjRjODNkNzcvMjUwLzMyMC81NjFk.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Cacatua
葵花鹦鹉 / Sulphur-crested Cockatoo / Cacatua galerita,https://www.huaniao8.com/niao/79884.html,https://hn8i.7img.cn/OThmYmVhNWZmNDlhMTk5Y2E3MGQwMzUyZWJiZDJkZmMvMjUwLzMyMC85ZWQx.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Cacatua
小凤头鹦鹉 / Little Corella / Cacatua sanguinea,https://www.huaniao8.com/niao/79802.html,https://hn8i.7img.cn/MTI4MjJhZDAxMzM5OThlMzM4MjQ4M2NlZTE2OTViMjUvMjUwLzMyMC8wZjEy.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Cacatua
穆加鹦鹉 / Mulga Parrot / Psephotellus varius,https://www.huaniao8.com/niao/79745.html,https://hn8i.7img.cn/NTI5NjEwOTcyOGIwMmU1MmM3NjQ4Njk1ZTVlZTFiODMvMjUwLzMyMC80MGQ5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psephotellus
小葵花凤头鹦鹉 / Yellow-crested Cockatoo / Cacatua sulphurea,https://www.huaniao8.com/niao/80141.html,https://hn8i.7img.cn/MDYwZWU5MmM1MDRlNTgwMjBhNjQ4OTRjYWVkYmZmYTYvMjUwLzMyMC9lN2Q3.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Cacatua
红胸辉鹦鹉 / Maroon Shining Parrot / Prosopeia tabuensis,https://www.huaniao8.com/niao/79693.html,https://hn8i.7img.cn/NDgyNGRkMjZiNGUxOTE5ZTk2MTI2NmJlYTQ1MGE2MGYvMjUwLzMyMC9lNjU4.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Prosopeia
亚历山大鹦鹉 / Alexandrine Parakeet / Psittacula eupatria,https://www.huaniao8.com/niao/79464.html,https://hn8i.7img.cn/MDUwZDMyNzZlNmY1ZDcwZTE0ZmJkZjJkZDdhMTYxNGEvMjUwLzMyMC84MDJk.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittacula
绿翅金鹦哥 / Jandaya Parakeet / Aratinga jandaya,https://www.huaniao8.com/niao/79482.html,https://hn8i.7img.cn/OWI4ZDk0MmEzZDg3M2RlODYwY2NiNWFmYzY1ODNkZDkvMjUwLzMyMC80ZjAz.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Aratinga
绿领鹦鹉 / Collared Lory / Phigys solitarius,https://www.huaniao8.com/niao/79416.html,https://hn8i.7img.cn/MGE3YTJhNDhlOTVhMjg0OTZjMmE4MWZhZDEwYWRlYzUvMjUwLzMyMC8yNmNi.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Phigys
马斯卡林鹦鹉 / Mascarene Parrot / Mascarinus mascarinus,https://www.huaniao8.com/niao/79391.html,https://hn8i.7img.cn/OWVmY2ZjZGZjNWQ0Mzc3YmU2NmEyZDM3NmIyOTNjZTYvMjUwLzMyMC9iMmZl.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Mascarinus
红尾鹦哥 / Red-tailed Amazon / Amazona brasiliensis,https://www.huaniao8.com/niao/79233.html,https://hn8i.7img.cn/MGFjNzdiZGQ0MWVlMzBiZDZlYmZkYTI1ODQyNGI5M2MvMjUwLzMyMC8yZGI0.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
灰头牡丹鹦鹉 / Grey-headed Lovebird / Agapornis canus,https://www.huaniao8.com/niao/79313.html,https://hn8i.7img.cn/YTYzYTE2OWU3ZDAwMjhlYjY1MWFkNGQ1MmE1ODVhNDYvMjUwLzMyMC9jNmU1.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Agapornis
双黄头亚马逊鹦鹉 / Yellow-headed Amazon / Amazona oratrix,https://www.huaniao8.com/niao/79179.html,https://hn8i.7img.cn/NjI2MTg5NGRkYmU4MGIzODJjMDczOGY3ZDQ1NDFkNzgvMjUwLzMyMC9iYjg4.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
罗德里格斯鹦鹉 / Rodrigues Parrot / Necropsittacus rodricanus,https://www.huaniao8.com/niao/79144.html,https://hn8i.7img.cn/OTEyNDZjM2E3ZmUxMTdjNjU1Y2U3MzMxYjUyZTgwZDUvMjUwLzMyMC9iN2Yz.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Necropsittacus
桃脸牡丹鹦鹉 / Rosy-faced Lovebird / Agapornis roseicollis,https://www.huaniao8.com/niao/79122.html,https://hn8i.7img.cn/ZDBlM2IzNzY3ODJkZDk3M2VkYmM0NDAyMTE4YjY2MTMvMjUwLzMyMC80OTQ4.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Agapornis
公主鹦鹉 / Princess Parrot / Polytelis alexandrae,https://www.huaniao8.com/niao/79028.html,https://hn8i.7img.cn/MmYzNzlkMWQyYjE1YzI5MGQ2NjZiYWE0MjczNWMxMWMvMjUwLzMyMC8wNzgx.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Polytelis
古巴鹦哥 / Cuban Parakeet / Psittacara euops,https://www.huaniao8.com/niao/79074.html,https://hn8i.7img.cn/N2RhNGNmNDlhYjgyZTE5ZjYyNmQxMzMzNjA4OTMwY2QvMjUwLzMyMC85N2Vh.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Psittacara
贵妃鹦鹉 / Duchess Lorikeet / Charmosyna margarethae,https://www.huaniao8.com/niao/79026.html,https://hn8i.7img.cn/OGEyYzQxNzQ4YjM3ZWI0MTI5ZDVmNzY3ZGEyYzFjMjUvMjUwLzMyMC9kODcz.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Charmosyna
索岛鹦哥 / Socorro Parakeet / Psittacara brevipes,https://www.huaniao8.com/niao/79097.html,https://hn8i.7img.cn/ZjYwM2Q0ZTkwOGEyNjQzODI0MjIzYTFjN2VjMjk3Y2YvMjUwLzMyMC8zMjhm.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Psittacara
黑鹦鹉 / Black Lory / Chalcopsitta atra,https://www.huaniao8.com/niao/78988.html,https://hn8i.7img.cn/Y2Y5YjIxZDBiZDAyNzRhNDRjOGViNTY4YzdiNDM4NWIvMjUwLzMyMC9hZTE2.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Chalcopsitta
红颈鹦哥 / Red-necked Amazon / Amazona arausiaca,https://www.huaniao8.com/niao/78912.html,https://hn8i.7img.cn/NDExMWMyZTVmMGUwYWM1YjdhMmFkMWE0YjU2NzRiNzQvMjUwLzMyMC81ZDUz.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
吉温侏鹦鹉 / Geelvink Pygmy Parrot / Micropsitta geelvinkiana,https://www.huaniao8.com/niao/78904.html,https://hn8i.7img.cn/ZmNjMWQ0NDI3NWM4MmU4ZjQ4MDliMzI1ZmI2NTVjODMvMjUwLzMyMC82NDA5.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Micropsitta
五彩鹦鹉 / Iris Lorikeet / Psitteuteles iris,https://www.huaniao8.com/niao/78895.html,https://hn8i.7img.cn/NWE0ZWNmNjQ5ZjE0YzZmY2EwNjE3NDk4MWE2N2MyMTAvMjUwLzMyMC9kNmMx.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psitteuteles
红眶鹦哥 / Red-spectacled Amazon / Amazona pretrei,https://www.huaniao8.com/niao/78878.html,https://hn8i.7img.cn/NGQwMjI3OGZhOGU4YTAzOGUyMzkzNmQ2ZDE5MTczZTIvMjUwLzMyMC85ZGVh.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
蓝眉鹦鹉 / Elegant Parrot / Neophema elegans,https://www.huaniao8.com/niao/78787.html,https://hn8i.7img.cn/ZDk4ZjlhYTZkMTA4NDNhNzgxYzU5YzNhODUxMWI1YzgvMjUwLzMyMC9iYTk0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Neophema
棕脸侏鹦鹉 / Buff-faced Pygmy Parrot / Micropsitta pusio,https://www.huaniao8.com/niao/78724.html,https://hn8i.7img.cn/OWQ0YjQwOGVhYzYxYTI1NWNlNDgwZmZlYzMwZWUwMGUvMjUwLzMyMC8wNjM0.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Micropsitta
厚嘴鹦哥 / Thick-billed Parrot / Rhynchopsitta pachyrhyncha,https://www.huaniao8.com/niao/78721.html,https://hn8i.7img.cn/MGI5YmRjMDUxNWE4YmI1N2NiZmQ0YjkyZTU2OTAyOTQvMjUwLzMyMC8xMjhk.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Rhynchopsitta
白腹鹦哥 / White-bellied Parrot / Pionites leucogaster,https://www.huaniao8.com/niao/78678.html,https://hn8i.7img.cn/NThmYzY4ZGU4MTEyNzU5OTg4ZTYzYmZkNDQ4NTE2NzYvMjUwLzMyMC83ZDIy.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pionites
白耳鹦哥 / White-eared Parakeet / Pyrrhura leucotis,https://www.huaniao8.com/niao/78837.html,https://hn8i.7img.cn/NjZkYWFkMWJjYzBlNDFiZjMzNTJhNzRlYTY1OTgxZjUvMjUwLzMyMC85NjYw.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Pyrrhura
