名称 (Name),详情链接 (Link),图片链接 (Image),目 (Order),科 (Family),属 (Genus)
安岛红额鹦鹉 / Reischek’s Parakeet / Cyanoramphus hochstetteri,https://www.huaniao8.com/niao/85007.html,https://hn8i.7img.cn/Yjg3YTdmNmMxZjE1ZTUyZTBkMTZkY2YwNTdmMmY5MmIvMjUwLzMyMC9mMzZi.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Cyanoramphus
琉璃金刚鹦鹉 / Blue-and-yellow Macaw / Ara ararauna,https://www.huaniao8.com/niao/85099.html,https://hn8i.7img.cn/YTllNzVkODk3ZmE3MjZiOGMwOWVlYWU0MTBjNmYyMDcvMjUwLzMyMC82ZmJk.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Ara
白嘴基鹦哥 / Kawall’s Amazon / Amazona kawalli,https://www.huaniao8.com/niao/85004.html,https://hn8i.7img.cn/ZDIyZWU4NGIxMTdlOGU5MGIyMjJlMDc2MzNhOGNlZTEvMjUwLzMyMC80NDJl.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Amazona
红脸果鹦鹉 / Double-eyed Fig Parrot / Cyclopsitta diophthalma,https://www.huaniao8.com/niao/84959.html,https://hn8i.7img.cn/YmYxNzM5ZjM0MzdkMGQzZjhkNDc4YTUyMmNiNTJkYTYvMjUwLzMyMC8zNTg4.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Cyclopsitta
暗红鹦鹉 / Cardinal Lory / Pseudeos cardinalis,https://www.huaniao8.com/niao/84945.html,https://hn8i.7img.cn/OWMwNmVhODE4MGFkNjMzNTRiMDE2NGJiYmMwODQxOTEvMjUwLzMyMC83Y2Rk.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Pseudeos
澳北玫瑰鹦鹉 / Northern Rosella / Platycercus venustus,https://www.huaniao8.com/niao/84774.html,https://hn8i.7img.cn/YTMxMzA4NTMyMzczZTYzMzE5YTRiNTczOWM1YmQ2ZGEvMjUwLzMyMC9lYTE1.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Platycercus
紫颊鹦鹉 / Plum-faced Lorikeet / Oreopsittacus arfaki,https://www.huaniao8.com/niao/84941.html,https://hn8i.7img.cn/YTMxNjBmMDRkZTE2NWRhYjdiMjc2NmQ4OTMzMmFlMTYvMjUwLzMyMC9kOWQ1.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Oreopsittacus
帝汶红翅鹦鹉 / Jonquil Parrot / Aprosmictus jonquillaceus,https://www.huaniao8.com/niao/84840.html,https://hn8i.7img.cn/ZDU3ZThiY2M5NDI3MTBlYTM4N2NmOTg1OGU4ZDBiMGQvMjUwLzMyMC82OWQz.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Aprosmictus
金羽鹦哥 / Golden-plumed Parakeet / Leptosittaca branickii,https://www.huaniao8.com/niao/84829.html,https://hn8i.7img.cn/NGVjYTY1MDExZWQwZDMyYzgwOTZjMTkwMTliZDFiZDIvMjUwLzMyMC9lYWFk.jpg,鹦形目 / Psittaciformes,鹦鹉科 / African and New World Parrots / Psittacidae,Leptosittaca
梅头鹦鹉 / Plum-headed Parakeet / Psittacula cyanocephala,https://www.huaniao8.com/niao/84684.html,https://hn8i.7img.cn/NDBhZTMxM2E0MWUyNzE4NjQ3OGMzZGQyMzAxN2IwMmMvMjUwLzMyMC80NTEz.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Psittacula
黑眼先鹦鹉 / Black-lored Parrot / Tanygnathus gramineus,https://www.huaniao8.com/niao/84749.html,https://hn8i.7img.cn/NGQ2MDg2N2UyNjE0NjhjN2IzM2FkM2VmMDBjNGQ5YTIvMjUwLzMyMC84ZTFk.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Tanygnathus
山扇尾鹦鹉 / Montane Racket-tail / Prioniturus montanus,https://www.huaniao8.com/niao/84854.html,https://hn8i.7img.cn/YTU5YTFhN2YxMjA2ODI4YWQ0MWE5MTMwNWMwODkzZjMvMjUwLzMyMC8xOGRl.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Prioniturus
粉红凤头鹦鹉 / Galah / Eolophus roseicapilla,https://www.huaniao8.com/niao/84743.html,https://hn8i.7img.cn/MmRiYWQxNGJjYWNkODI0ZGM0ZWJiZWQ3MmFjZThiMjYvMjUwLzMyMC8xNjBl.jpg,鹦形目 / Psittaciformes,凤头鹦鹉科 / Cockatoos / Cacatuidae,Eolophus
红额鹦鹉 / Red-crowned Parakeet / Cyanoramphus novaezelandiae,https://www.huaniao8.com/niao/84600.html,https://hn8i.7img.cn/NDczMDllZjM3YzE3MDczMmMzYzllODRjMjBhZDI3NjAvMjUwLzMyMC8xMjQy.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Cyanoramphus
烟色鹦鹉 / Dusky Lory / Pseudeos fuscata,https://www.huaniao8.com/niao/84541.html,https://hn8i.7img.cn/ZWJjNjdjMmJmMjUzNjhmZjA2ZjgwZTAxN2I2ZDI3NzkvMjUwLzMyMC80YTFm.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Pseudeos
红鹦鹉 / Red Lory / Eos bornea,https://www.huaniao8.com/niao/84497.html,https://hn8i.7img.cn/M2ExODE1Y2M3ZDZmN2QxYzIwMzI5MmNlNmZmZDcxZjgvMjUwLzMyMC85NDY3.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Eos
红背短尾鹦鹉 / Sula Hanging Parrot / Loriculus sclateri,https://www.huaniao8.com/niao/84257.html,https://hn8i.7img.cn/ZGZhZGI0M2Y1NDE0NTUxMDUyNWU5MDdjNWM3YWMxMjYvMjUwLzMyMC84M2Q2.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Loriculus
红顶鹦鹉 / Red-capped Parrot / Purpureicephalus spurius,https://www.huaniao8.com/niao/84361.html,https://hn8i.7img.cn/YTZhMDJkOWI3ZmM3YzFmY2Y2NzA3OTk1YjY4OTBlOTgvMjUwLzMyMC84NTYy.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Purpureicephalus
黑头环颈鹦鹉 / Australian Ringneck / Barnardius zonarius,https://www.huaniao8.com/niao/84293.html,https://hn8i.7img.cn/NjQ1MTY0MTdjNTA5MmZiZjYxYzk5YWQxMjM0YmY0NWEvMjUwLzMyMC8wODlm.jpg,鹦形目 / Psittaciformes,长尾鹦鹉科 / Old World Parrots / Psittaculidae,Barnardius
